Unnamed: 0,Date,Acao,Close,Dividends
0,2022-05-10,HGLG11.SA,146.51461791992188,0.0
1,2022-05-11,HGLG11.SA,147.19293212890625,0.0
2,2022-05-12,HGLG11.SA,146.7135772705078,0.0
3,2022-05-13,HGLG11.SA,147.74461364746094,0.0
4,2022-05-16,HGLG11.SA,147.50042724609375,0.0
5,2022-05-17,HGLG11.SA,147.32855224609375,0.0
6,2022-05-18,HGLG11.SA,147.23817443847656,0.0
7,2022-05-19,HGLG11.SA,146.90350341796875,0.0
8,2022-05-20,HGLG11.SA,147.23817443847656,0.0
9,2022-05-23,HGLG11.SA,146.96682739257812,0.0
10,2022-05-24,HGLG11.SA,146.60508728027344,0.0
11,2022-05-25,HGLG11.SA,146.6140899658203,0.0
12,2022-05-26,HGLG11.SA,148.0973358154297,0.0
13,2022-05-27,HGLG11.SA,149.3273468017578,0.0
14,2022-05-30,HGLG11.SA,148.63999938964844,0.0
15,2022-05-31,HGLG11.SA,149.3183135986328,0.0
16,2022-06-01,HGLG11.SA,148.03451538085938,1.1
17,2022-06-02,HGLG11.SA,147.56106567382812,0.0
18,2022-06-03,HGLG11.SA,148.28945922851562,0.0
19,2022-06-06,HGLG11.SA,147.8615264892578,0.0
20,2022-06-07,HGLG11.SA,147.9070587158203,0.0
21,2022-06-08,HGLG11.SA,147.7978057861328,0.0
22,2022-06-09,HGLG11.SA,147.2241973876953,0.0
23,2022-06-10,HGLG11.SA,148.4169158935547,0.0
24,2022-06-13,HGLG11.SA,147.49734497070312,0.0
25,2022-06-14,HGLG11.SA,148.50796508789062,0.0
26,2022-06-15,HGLG11.SA,148.75381469726562,0.0
27,2022-06-17,HGLG11.SA,142.86300659179688,0.0
28,2022-06-20,HGLG11.SA,147.3152313232422,0.0
29,2022-06-21,HGLG11.SA,148.1892852783203,0.0
30,2022-06-22,HGLG11.SA,148.40782165527344,0.0
31,2022-06-23,HGLG11.SA,147.8888397216797,0.0
32,2022-06-24,HGLG11.SA,148.0163116455078,0.0
33,2022-06-27,HGLG11.SA,148.22573852539062,0.0
